"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","GHCND.name","GHCND.lat","GHCND.lon","GHCND.dist_from_event.km","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km","GHCND.prcp_cat","Q24.f2","Q24.f6"
"207","USC00056205",2013-10-14,480234,"1145",2013-10-14,"1145","TEXAS",48,"Heavy Rain",439,"TARRANT","FWD","",NA,"",32.7814,-97.2126,32.7814,-97.2126,15,3,"USD","OURAY #2",38.0264,-107.6725,0.914063891545284,"KFTW","FT. WORTH",32.82,-97.35,"TX",13.5556686352889,2,"  2","  2"
"208","USC00056320",2013-01-29,427991,"0200",2013-01-29,"0259","MISSOURI",29,"Heavy Rain",23,"BUTLER","PAH","",NA,"",36.84,-90.5,36.84,-90.5,0,3,"USD","PARADOX 2N",38.3897,-108.9494,0.0620269623855051,"KPOF","POPLAR BLUFF",36.77,-90.32,"MO",17.8358720278675,1,"  2","  3"
"209","USC00056320",2013-08-06,466637,"0230",2013-08-06,"0316","NEBRASKA",31,"Heavy Rain",33,"CHEYENNE","CYS","",NA,"",41.3916,-103.0754,41.3916,-103.0754,0,3,"USD","PARADOX 2N",38.3897,-108.9494,11.7433055373782,"KSNY","SIDNEY",41.1,-102.98,"NE",33.4284357175343,1,"  1","  0"
"210","USC00056520",2013-10-11,476612,"1944",2013-10-11,"2145","HAWAII",15,"Heavy Rain",7,"KAUAI","HFO","",NA,"",21.9432,-159.3718,22.1598,-159.3189,0,3,"USD","PLACERVILLE",38.0178,-108.0514,0.480126034783705,"PHLI","LIHUE",21.98,-159.35,"HI",4.67410724883402,0,"  1","  1"
"211","USC00059278",2013-03-30,434644,"2227",2013-03-30,"2339","HAWAII",15,"Heavy Rain",3,"HONOLULU","HFO","",NA,"",21.397,-157.9491,21.3049,-157.8406,0,3,"USD","YELLOW JACKET 4NE",37.5594,-108.6636,14.8339361520451,"PHNL","HONOLULU",21.35,-157.93,"HI",5.59412900603208,0,"  0","  0"
"212","USC00059278",2013-09-06,474250,"2055",2013-09-06,"2115","MONTANA",30,"Heavy Rain",29,"FLATHEAD","MSO","",NA,"",48.32,-114.25,48.32,-114.25,0,3,"USD","YELLOW JACKET 4NE",37.5594,-108.6636,0.324264312437777,"KGPI","KALISPELL",48.3,-114.27,"MT",2.6738543382595,0,"  1","  1"
"213","USC00081978",2013-06-25,448062,"1200",2013-06-25,"1200","IOWA",19,"Heavy Rain",125,"MARION","DMX","",NA,"",41.32,-93.1,41.32,-93.1,0,3,"USD","CRESCENT CITY",29.425,-81.5161,11.5815546217096,"KOXV","KNOXVILLE",41.3,-93.12,"IA",2.7845227823296,0,"  4","  3"
"214","USC00083168",2013-06-23,447877,"0300",2013-06-24,"0900","IOWA",19,"Heavy Rain",77,"GUTHRIE","DMX","",NA,"",41.56,-94.64,41.56,-94.64,0,3,"USD","FT LAUDERDALE BEACH",26.1408,-80.1061,2.11546888651427,"KADU","AUDUBORN",41.7,-94.92,"IA",28.0296553100928,0,"  0","  0"
"215","USC00108080",2013-05-29,449625,"2220",2013-05-29,"2335","WISCONSIN",55,"Heavy Rain",63,"LA CROSSE","ARX","",NA,"",43.9,-91.08,43.9,-91.08,0,3,"USD","SALMON-KSRA",45.1875,-113.9008,18.7418415206981,"KLSE","LA CROSSE",43.87,-91.25,"WI",14.0422632848096,2,"  4","  4"
"216","USC00108080",2013-09-05,474054,"2336",2013-09-05,"0036","IDAHO",16,"Heavy Rain",59,"LEMHI","MSO","",NA,"",45.149,-113.945,45.149,-113.945,0,3,"USD","SALMON-KSRA",45.1875,-113.9008,31.3726229150506,"KSMN","SALMON",45.12,-113.88,"ID",6.03961503447576,1,"  1","  1"
"217","USC00110993",2013-05-05,444916,"0047",2013-05-05,"0249","HAWAII",15,"Heavy Rain",9,"MAUI","HFO","",NA,"",21.0974,-157.2089,21.1577,-156.7873,0,3,"USD","BROOKPORT DAM 52",37.1275,-88.6531,12.4811266764193,"PHMK","MOLOKAI",21.15,-157.1,"HI",12.7341642443157,0,"  1","  0"
"218","USC00110993",2013-08-08,475174,"0140",2013-08-08,"0230","TEXAS",48,"Heavy Rain",375,"POTTER","AMA","",NA,"",35.2,-101.8377,35.2,-101.8377,0,3,"USD","BROOKPORT DAM 52",37.1275,-88.6531,5.66512460283185,"KAMA","AMARILLO",35.23,-101.7,"TX",12.9610802091308,2,"  0","  0"
"219","USC00110993",2013-08-28,475887,"1604",2013-08-28,"1604","PENNSYLVANIA",42,"Heavy Rain",121,"VENANGO","PBZ","",NA,"",41.51,-79.78,41.51,-79.78,0,3,"USD","BROOKPORT DAM 52",37.1275,-88.6531,2.21131981197721,"KFKL","FRANKLIN",41.38,-79.87,"PA",16.3041372193742,0,"  1","  2"
"220","USC00112483",2013-05-19,450280,"2200",2013-05-20,"0702","MINNESOTA",27,"Heavy Rain",109,"OLMSTED","ARX","",NA,"",43.97,-92.13,43.97,-92.13,0,3,"USD","DU QUOIN 4 SE",37.9878,-89.1931,4.82418985069383,"KRST","ROCHESTER",43.92,-92.5,"MN",30.173550921145,0,"  1","  4"
"221","USC00112931",2013-02-21,430832,"0313",2013-02-22,"2313","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",20.0096,-155.2959,19.4421,-154.9491,0,3,"USD","FAIRFIELD RADIO WFIW",38.3806,-88.3264,8.1590548773351,"PHSF","BRADSHAW AAF",19.78,-155.55,"HI",36.8879278335858,3,"  0","  0"
"222","USC00113612",2013-06-06,463359,"1930",2013-06-06,"1932","TEXAS",48,"Heavy Rain",213,"HENDERSON","FWD","",NA,"",32.1983,-95.8059,32.1983,-95.8059,0,3,"USD","GRAYVILLE",38.2758,-87.9989,12.4143435592488,"KTYR","TYLER",32.37,-95.4,"TX",42.7144490673979,0,"  0","  0"
"223","USC00117187",2013-07-13,468020,"1115",2013-07-13,"1415","MINNESOTA",27,"Heavy Rain",139,"SCOTT","MPX","",NA,"",44.63,-93.37,44.63,-93.37,0,3,"USD","REND LAKE DAM",38.0406,-88.9883,7.49512388204935,"KLVN","AIRLAKE",44.63,-93.23,"MN",11.0910002087466,0,"  0","  0"
"224","USC00130364",2013-07-21,468452,"0000",2013-07-21,"0000","VIRGINIA",51,"Heavy Rain",199,"YORK","AKQ","",NA,"",37.2,-76.43,37.2,-76.43,0,3,"USD","ATLANTIC 1 NE",41.4175,-95.0042,2.00512853084532,"KPHF","NEWPORT NEWS",37.13,-76.5,"VA",9.96401780566496,0,"  0","  0"
"225","USC00130753",2013-05-18,454468,"0730",2013-05-18,"0815","ALABAMA",1,"Heavy Rain",29,"CLEBURNE","BMX","",NA,"",33.6689,-85.5639,33.6689,-85.5639,0,3,"USD","BLOOMFIELD 1 WNW",40.7597,-92.4394,15.7422474406405,"KANB","ANNISTON",33.59,-85.85,"AL",27.934907438657,0,"  0","  0"
"226","USC00130753",2013-06-25,448417,"1930",2013-06-25,"2000","SOUTH CAROLINA",45,"Heavy Rain",79,"RICHLAND","CAE","",NA,"",34.03,-80.98,34.03,-80.98,0,3,"USD","BLOOMFIELD 1 WNW",40.7597,-92.4394,1.07977416780899,"KCUB","COLUMBIA-OWENS ARPT.",33.97,-80.99,"SC",6.74262653314865,3,"  1","  2"
"227","USC00130753",2013-07-10,451931,"2000",2013-07-10,"2100","GEORGIA",13,"Heavy Rain",73,"COLUMBIA","CAE","",NA,"",33.52,-82.09,33.52,-82.09,0,3,"USD","BLOOMFIELD 1 WNW",40.7597,-92.4394,5.63621408435141,"KDNL","AUGUSTA",33.47,-82.03,"GA",7.87431365561277,1,"  1","  0"
"228","USC00130753",2013-10-02,477588,"0200",2013-10-03,"1100","NEBRASKA",31,"Heavy Rain",1,"ADAMS","GID","",NA,"",40.47,-98.4,40.47,-98.4,0,3,"USD","BLOOMFIELD 1 WNW",40.7597,-92.4394,1.95795689414421,"KHSI","HASTINGS",40.6,-98.43,"NE",14.6924235012182,0,"  0","  0"
