prcp.id,year,prcp.prcp,freq
US10adam032,2015,0,249
US10adam032,2015,1,60
US10adam032,2015,2,17
US10adam032,2015,3,13
US10adam032,2015,4,10
US10adam032,2015,5,4
US10adam032,2015,6,1
US10adam032,2016,0,114
US10adam032,2016,1,16
US10adam032,2016,2,6
US10adam032,2016,3,11
US10adam032,2016,4,7
US10adam032,2016,5,2
US10adam032,2016,6,1
US10adam033,2010,0,125
US10adam033,2010,1,20
US10adam033,2010,2,15
US10adam033,2010,3,16
US10adam033,2010,4,6
US10adam033,2010,5,6
US10adam033,2010,6,2
US10adam041,2010,0,99
US10adam041,2010,1,26
US10adam041,2010,2,9
US10adam041,2010,3,9
US10adam041,2010,4,8
US10adam041,2010,5,4
US10adam041,2010,6,2
US10adam046,2010,0,48
US10adam046,2010,1,1
US10adam046,2010,2,2
US10adam046,2010,3,2
US10adam046,2011,0,125
US10adam046,2011,1,22
US10adam046,2011,2,7
US10adam046,2011,3,8
US10adam046,2011,4,12
US10adam046,2011,5,3
US10adam046,2011,6,4
US10adam051,2011,0,128
US10adam051,2011,1,9
US10adam051,2011,2,7
US10adam051,2011,3,7
US10adam051,2011,4,5
US10adam051,2011,6,2
US10adam051,2012,0,311
US10adam051,2012,1,20
US10adam051,2012,2,10
US10adam051,2012,3,10
US10adam051,2012,4,7
US10adam051,2012,5,7
US10adam051,2012,6,1
US10adam051,2013,0,294
US10adam051,2013,1,24
US10adam051,2013,2,20
US10adam051,2013,3,8
US10adam051,2013,4,10
US10adam051,2013,5,6
US10adam051,2013,6,1
US10adam051,2014,0,291
US10adam051,2014,1,29
US10adam051,2014,2,18
US10adam051,2014,3,9
US10adam051,2014,4,11
US10adam051,2014,5,4
US10adam051,2014,6,2
US10adam051,2015,0,277
US10adam051,2015,1,29
US10adam051,2015,2,19
US10adam051,2015,3,14
US10adam051,2015,4,9
US10adam051,2015,5,7
US10adam051,2015,6,1
US10adam051,2016,0,158
US10adam051,2016,1,15
US10adam051,2016,2,11
US10adam051,2016,3,9
US10adam051,2016,4,4
US10adam051,2016,5,2
US10adam051,2016,6,1
US10box_001,2006,0,141
US10box_001,2006,1,14
US10box_001,2006,2,5
US10box_001,2006,3,5
US10box_001,2006,4,3
US10box_001,2007,0,290
US10box_001,2007,1,31
US10box_001,2007,2,15
US10box_001,2007,3,7
US10box_001,2007,4,5
US10box_001,2007,5,2
US10box_001,2008,0,269
US10box_001,2008,1,35
US10box_001,2008,2,18
US10box_001,2008,3,12
US10box_001,2008,4,7
US10box_001,2009,0,224
US10box_001,2009,1,54
US10box_001,2009,2,21
US10box_001,2009,3,14
US10box_001,2009,4,6
US10box_001,2009,5,3
US10box_001,2010,0,235
US10box_001,2010,1,39
US10box_001,2010,2,11
US10box_001,2010,3,11
US10box_001,2010,4,8
US10box_001,2010,5,3
US10box_001,2011,0,244
US10box_001,2011,1,40
US10box_001,2011,2,24
US10box_001,2011,3,7
US10box_001,2011,4,7
US10box_001,2011,5,1
US10box_001,2012,0,260
US10box_001,2012,1,23
US10box_001,2012,2,10
US10box_001,2012,3,5
US10box_001,2012,4,1
US10box_001,2012,5,1
US10box_013,2011,0,75
US10box_013,2011,1,8
US10box_013,2011,3,3
US10box_013,2011,4,1
US10box_013,2012,0,161
US10box_013,2012,1,18
US10box_013,2012,2,5
US10box_013,2012,3,6
US10box_013,2012,4,3
US10box_013,2013,0,222
US10box_013,2013,1,19
US10box_013,2013,2,20
US10box_013,2013,3,9
US10box_013,2013,4,4
US10box_013,2013,5,1
US10box_013,2014,0,149
US10box_013,2014,1,12
US10box_013,2014,2,6
US10box_013,2014,3,1
US10box_013,2014,4,7
US10box_013,2014,5,2
US10box_014,2011,0,107
US10box_014,2011,1,10
US10box_014,2011,2,10
US10box_014,2011,3,4
US10box_014,2011,5,1
US10box_014,2011,6,1
US10box_014,2012,0,293
US10box_014,2012,1,23
US10box_014,2012,2,15
US10box_014,2012,3,5
US10box_014,2012,4,4
US10box_014,2012,6,1
US10box_014,2013,0,283
US10box_014,2013,1,32
US10box_014,2013,2,18
US10box_014,2013,3,20
US10box_014,2013,4,4
US10box_014,2013,6,1
US10box_014,2014,0,86
US10box_014,2014,1,17
US10box_014,2014,2,10
US10box_024,2014,0,33
US10box_024,2014,1,2
US10box_024,2014,2,2
US10box_024,2014,3,1
US10buff002,2004,0,170
US10buff002,2004,1,22
US10buff002,2004,2,12
US10buff002,2004,3,9
US10buff002,2004,4,6
US10buff002,2004,5,4
US10buff002,2005,0,291
US10buff002,2005,1,34
US10buff002,2005,2,13
US10buff002,2005,3,13
US10buff002,2005,4,11
US10buff002,2005,5,2
US10buff002,2005,6,1
US10buff002,2006,0,286
US10buff002,2006,1,29
US10buff002,2006,2,19
US10buff002,2006,3,11
US10buff002,2006,4,10
US10buff002,2006,5,8
US10buff002,2006,6,2
US10buff002,2007,0,277
US10buff002,2007,1,32
US10buff002,2007,2,19
US10buff002,2007,3,17
US10buff002,2007,4,12
US10buff002,2007,5,4
US10buff002,2007,6,4
US10buff002,2008,0,273
US10buff002,2008,1,42
US10buff002,2008,2,18
US10buff002,2008,3,10
US10buff002,2008,4,11
US10buff002,2008,5,9
US10buff002,2008,6,3
US10buff002,2009,0,270
US10buff002,2009,1,48
US10buff002,2009,2,20
US10buff002,2009,3,12
US10buff002,2009,4,10
US10buff002,2009,5,5
US10buff002,2010,0,285
US10buff002,2010,1,26
US10buff002,2010,2,24
US10buff002,2010,3,17
US10buff002,2010,4,5
US10buff002,2010,5,8
