"","EVENTS.begin_date","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.ID","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","GHCND.prcp_cat","NA","NA","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km"
"43",NA,2015-07-07,NA,"1101",2015-07-07,"1301","MISSOURI",29,"Heavy Rain",105,"LACLEDE","SGF","",NA,"",37.55,-92.38,37.55,-92.38,0,3,"USD","KAPAA 1.4 SSW",22.0803,-159.3659,3.74940416534462,"KTBN","FT LEONARD WOOD",37.75,-92.15,"MO",30.1101808556107,0,"  0","  1",0,0,0,0,0,0
"44",NA,2015-06-14,NA,"0500",2015-06-15,"1215","IOWA",19,"Heavy Rain",99,"JASPER","DMX","",NA,"",41.69,-93.07,41.69,-93.07,0,3,"USD","MAUNALOA 3.2 NNW",21.1804,-157.2319,0.493817135393538,"KTNU","NEWTON_MUNI",41.68,-93.02,"IA",4.30321690819321,0,"  0","  3",0,0,0,0,0,0
"45",NA,2015-08-04,NA,"2000",2015-08-05,"1200","NEBRASKA",31,"Heavy Rain",61,"FRANKLIN","GID","",NA,"",40.07,-99.14,40.07,-99.14,0,3,"USD","MAUNALOA 3.2 NNW",21.1804,-157.2319,4.28790233337931,"KHDE","BREWSTER FIELD",40.45,-99.33,"NE",45.2760665955923,0,"  0","  0",0,0,0,0,0,0
"46",NA,2015-09-08,NA,"1818",2015-09-08,"1938","FLORIDA",12,"Heavy Rain",31,"DUVAL","JAX","",NA,"",30.38,-81.52,30.38,-81.52,0,3,"USD","CENTERVILLE 0.7 NW",40.7368,-92.8852,11.7767222232677,"KCRG","CRAIG MUNI ARPT",30.33,-81.52,"FL",5.56597453966404,1,"  1","  3",0,0,0,0,0,0
"47",NA,2015-09-14,NA,"0400",2015-09-15,"0115","FLORIDA",12,"Heavy Rain",31,"DUVAL","JAX","",NA,"",30.31,-81.66,30.31,-81.66,0,3,"USD","BOONE 4.5 NW",42.0913,-93.9498,0.967536597170188,"KNIP","JACKSONVILLE NAS",30.23,-81.68,"FL",9.11077985432901,0,"  0","  4",0,0,0,0,0,0
"48",NA,2015-10-16,NA,"0928",2015-10-17,"1218","HAWAII",15,"Heavy Rain",9,"MAUI","HFO","",NA,"",20.8872,-156.4069,20.7533,-155.9908,0,3,"USD","BOONE 4.5 NW",42.0913,-93.9498,11.4194900024346,"PHOG","KAHULUI/MAUI",20.9,-156.43,"HI",2.79316872604762,0,"  1","  1",0,0,0,0,0,0
"49",NA,2015-02-09,NA,"1202",2015-02-09,"1202","CALIFORNIA",6,"Heavy Rain",53,"MONTEREY","MTR","",NA,"",35.85,-121.32,35.85,-121.32,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.92352733114896,"KPRB","PASO ROBLES",35.67,-120.63,"CA",65.4709678861527,0,"  3","  1",0,0,0,0,0,0
"50",NA,2015-02-09,NA,"1202",2015-02-09,"1202","CALIFORNIA",6,"Heavy Rain",53,"MONTEREY","MTR","",NA,"",35.85,-121.32,35.85,-121.32,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.92352733114896,"KPRB","PASO ROBLES",35.67,-120.63,"CA",65.4709678861527,0,"  3","  1",0,0,0,0,0,0
"51",NA,2015-02-09,NA,"1202",2015-02-09,"1202","CALIFORNIA",6,"Heavy Rain",53,"MONTEREY","MTR","",NA,"",36.05,-121.52,36.05,-121.52,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.92352733114896,"KMRY","MONTEREY",36.58,-121.85,"CA",66.0082504596328,0,"  4","  2",0,0,0,0,0,0
"52",NA,2015-02-09,NA,"1202",2015-02-09,"1202","CALIFORNIA",6,"Heavy Rain",53,"MONTEREY","MTR","",NA,"",36.05,-121.52,36.05,-121.52,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.92352733114896,"KMRY","MONTEREY",36.58,-121.85,"CA",66.0082504596328,0,"  4","  2",0,0,0,0,0,0
"53",NA,2015-09-22,NA,"0030",2015-09-22,"0300","ARIZONA",4,"Heavy Rain",13,"MARICOPA","PSR","",NA,"",33.62,-111.9,33.62,-111.9,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.92352733114896,"KSDL","SCOTTSDALE",33.62,-111.92,"AZ",1.85397717995495,0,"  1","  0",0,0,0,0,0,0
"54",NA,2015-02-28,NA,"1638",2015-02-28,"1920","HAWAII",15,"Heavy Rain",9,"MAUI","HFO","",NA,"",21.1678,-156.9981,21.15,-156.7392,0,3,"USD","MURRAY 1.7 W",41.0413,-93.9805,0.80975389379838,"PHMK","MOLOKAI",21.15,-157.1,"HI",10.7626889749989,0,"  3","  0",0,0,0,0,0,0
"55",NA,2015-12-12,NA,"0230",2015-12-14,"0000","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.59,-93.83,41.59,-93.83,0,3,"USD","OELWEIN 0.8 WNW",42.6785,-91.9289,1.17083473212289,"KDSM","DES MOINES",41.53,-93.65,"IA",16.4137146979464,0,"  0","  0",0,0,0,0,0,0
"56",NA,2015-09-06,NA,"0530",2015-09-07,"1330","IOWA",19,"Heavy Rain",125,"MARION","DMX","",NA,"",41.32,-92.92,41.32,-92.92,0,3,"USD","CHURDAN 1.0 S",42.1397,-94.4747,16.2644499504721,"KPEA","PELLA MUNI AP",41.4,-92.95,"IA",9.25159604308547,0,"  0","  0",0,0,0,0,0,0
"57",NA,2015-09-21,NA,"0400",2015-09-22,"0400","FLORIDA",12,"Heavy Rain",35,"FLAGLER","JAX","",NA,"",29.47,-81.35,29.47,-81.35,0,3,"USD","CHURDAN 1.0 S",42.1397,-94.4747,0.438267399350213,"KDAB","DAYTONA BEACH",29.18,-81.05,"FL",43.4733018585933,0,"  0","  3",0,0,0,0,0,0
"58",NA,2015-08-08,NA,"1200",2015-08-09,"1200","IOWA",19,"Heavy Rain",99,"JASPER","DMX","",NA,"",41.7,-93.05,41.7,-93.05,0,3,"USD","HUMBOLDT 2.0 NE",42.7376,-94.1918,14.7536485293428,"KTNU","NEWTON_MUNI",41.68,-93.02,"IA",3.34306670936468,0,"  0","  0",0,0,0,0,0,0
"59",NA,2015-11-08,NA,"0500",2015-11-08,"0232","FLORIDA",12,"Heavy Rain",31,"DUVAL","JAX","",NA,"",30.31,-81.39,30.31,-81.39,0,3,"USD","PELLA 1.0 N",41.4225,-92.9207,1.1387344276326,"KNRB","MAYPORT NAS",30.4,-81.42,"FL",10.4249697647653,0,"  0","  0",0,0,0,0,0,0
"60",NA,2015-11-26,NA,"1200",2015-11-27,"1200","IOWA",19,"Heavy Rain",117,"LUCAS","DMX","",NA,"",41,-93.32,41,-93.32,0,3,"USD","PELLA 1.0 N",41.4225,-92.9207,5.28208125352114,"KCNC","CHARITON",41.03,-93.37,"IA",5.36568961760839,2,"  0","  1",0,0,0,0,0,0
"61",NA,2015-06-25,NA,"0446",2015-06-25,"0446","VIRGINIA",51,"Heavy Rain",620,"FRANKLIN (C)","AKQ","",NA,"",36.67,-76.92,36.67,-76.92,0,3,"USD","NEW MARKET 4.7 N",40.8006,-94.9102,14.7210230902949,"KFKN","FRANKLIN/J_B_ROSE",36.7,-76.9,"VA",3.78688882133277,4,"  0","  0",0,0,0,0,0,0
"62",NA,2015-04-11,NA,"0320",2015-04-11,"0611","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",19.6532,-155.929,19.487,-155.8884,0,3,"USD","FORT DODGE 1.6 ENE",42.5193,-94.1504,11.0417049582721,"PHKO","KONA/KEAHOLE",19.65,-156,"HI",7.45185261427214,0,"  1","  4",0,0,0,0,0,0
"63",NA,2015-08-28,NA,"0730",2015-08-28,"2215","IOWA",19,"Heavy Rain",23,"BUTLER","DMX","",NA,"",42.57,-92.62,42.57,-92.62,0,3,"USD","FORT DODGE 1.6 ENE",42.5193,-94.1504,4.19479353529823,"KALO","WATERLOO",42.55,-92.4,"IA",18.1756665312326,4,"  0","  0",0,0,0,0,0,0
"64",NA,2015-10-04,NA,"2029",2015-10-04,"0429","CALIFORNIA",6,"Heavy Rain",29,"KERN","HNX","",NA,"",35.304,-117.9932,35.3825,-117.7377,0,3,"USD","FORT DODGE 1.6 ENE",42.5193,-94.1504,2.63728488185154,"K9L2","EDWARDS AFB",34.98,-117.86,"CA",38.0510446472836,0,"  0","  0",0,0,0,0,0,0
"65",NA,2015-10-17,NA,"0405",2015-10-17,"0545","HAWAII",15,"Heavy Rain",9,"MAUI","HFO","",NA,"",21.1467,-157.2219,21.091,-156.9218,0,3,"USD","FORT DODGE 1.6 ENE",42.5193,-94.1504,9.92976114143212,"PHMK","MOLOKAI",21.15,-157.1,"HI",12.6612388782609,0,"  1","  0",0,0,0,0,0,0
"66",NA,2015-07-11,NA,"0315",2015-07-11,"0315","NORTH CAROLINA",37,"Heavy Rain",29,"CAMDEN","AKQ","",NA,"",36.26,-76.1,36.26,-76.1,0,3,"USD","OTTUMWA 4.3 S",40.958,-92.4044,10.6912707973629,"KECG","ELIZABETH CITY",36.27,-76.18,"NC",7.26623869808634,4,"  0","  0",0,0,0,0,0,0
"67",NA,2015-11-27,NA,"0200",2015-11-28,"0200","KENTUCKY",21,"Heavy Rain",105,"HICKMAN","PAH","",NA,"",36.7448,-88.8685,36.6514,-88.9089,0,3,"USD","OTTUMWA 4.3 S",40.958,-92.4044,0.431243015422563,"KPAH","PADUCAH",37.07,-88.77,"KY",37.2476974041789,6,"  0","  2",0,0,0,0,0,0
"68",NA,2015-11-27,NA,"1956",2015-11-27,"1956","MISSOURI",29,"Heavy Rain",141,"MORGAN","SGF","",NA,"",38.43,-92.84,38.43,-92.84,0,3,"USD","OTTUMWA 2.2 NE",41.0414,-92.3866,0.324877400885187,"KDMO","SEDALIA",38.7,-93.1,"MO",37.6234109881271,6,"  2","  5",0,0,0,0,0,0
