CBSA.code,CBSA.title,CBSA.pop,CBSA.land_area,CBSA.pop_den,CBSA.category
16220,"Casper, WY",75450,5340.4,14.1,MSA
16300,"Cedar Rapids, IA",257940,2008.8,128.4,MSA
16580,"Champaign-Urbana, IL",231891,1921.1,120.7,MSA
16620,"Charleston, WV",304284,2527.7,120.4,MSA
16700,"Charleston-North Charleston-Summerville, SC",664607,2588.2,256.8,MSA
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",1758038,3085.2,569.8,MSA
16820,"Charlottesville, VA",201559,1644,122.6,MSA
16860,"Chattanooga, TN-GA",528143,2089,252.8,MSA
16940,"Cheyenne, WY",91738,2685.9,34.2,MSA
16980,"Chicago-Joliet-Naperville, IL-IN-WI",9461105,7196.8,1314.6,MSA
17020,"Chico, CA",220000,1636.5,134.4,MSA
17140,"Cincinnati-Middletown, OH-KY-IN",2130151,4391.9,485,MSA
17300,"Clarksville, TN-KY",273949,2157.4,127,MSA
17420,"Cleveland, TN",115788,763.4,151.7,MSA
17460,"Cleveland-Elyria-Mentor, OH",2077240,1997.3,1040,MSA
17660,"Coeur d'Alene, ID",138494,1244.1,111.3,MSA
17780,"College Station-Bryan, TX",228660,2100.2,108.9,MSA
17820,"Colorado Springs, CO",645613,2683.9,240.6,MSA
17860,"Columbia, MO",172786,1149.3,150.3,MSA
17900,"Columbia, SC",767598,3702.7,207.3,MSA
17980,"Columbus, GA-AL",294865,1936.1,152.3,MSA
18020,"Columbus, IN",76794,406.9,188.7,MSA
18140,"Columbus, OH",1836536,3967.2,462.9,MSA
18580,"Corpus Christi, TX",428185,1784,240,MSA
18700,"Corvallis, OR",85579,675.9,126.6,MSA
18880,"Crestview-Fort Walton Beach-Destin, FL",180822,930.2,194.4,MSA
19060,"Cumberland, MD-WV",103299,752,137.4,MSA
19100,"Dallas-Fort Worth-Arlington, TX",6371773,8927.5,713.7,MSA
19140,"Dalton, GA",142227,634.9,224,MSA
19180,"Danville, IL",81625,898.4,90.9,MSA
19260,"Danville, VA",106561,1011.9,105.3,MSA
19340,"Davenport-Moline-Rock Island, IA-IL",379690,2269.9,167.3,MSA
19380,"Dayton, OH",841502,1706,493.3,MSA
19460,"Decatur, AL",153829,1270,121.1,MSA
19500,"Decatur, IL",110768,580.7,190.8,MSA
19660,"Deltona-Daytona Beach-Ormond Beach, FL",494593,1101,449.2,MSA
19740,"Denver-Aurora-Broomfield, CO",2543482,8346.1,304.8,MSA
19780,"Des Moines-West Des Moines, IA",569633,2883.7,197.5,MSA
19820,"Detroit-Warren-Livonia, MI",4296250,3888.4,1104.9,MSA
20020,"Dothan, AL",145639,1716,84.9,MSA
20100,"Dover, DE",162310,586.2,276.9,MSA
20220,"Dubuque, IA",93653,608.3,154,MSA
