"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.fips","EVENTS.begin_lat","EVENTS.begin_lon"
"308","USC00221860",2011-07-28,332421,19,42.45,-90.66
"309","USC00226513",2011-07-08,327541,39,38.73,-82.98
"310","USC00226513",2011-09-25,336570,45,34,-81.04
"311","USC00234136",2011-06-21,313195,38,46,-98.53
"312","USC00236045",2011-09-15,340078,15,21.6664,-157.9484
"313","USC00238003",2011-09-25,342892,17,38.0145,-88.48
"314","USC00238444",2011-06-01,330429,20,39.47,-98.11
"315","USC00243555",2011-05-19,306402,31,40.2722,-97.4501
"316","USC00243885",2011-07-31,322842,4,36.9872,-112.9667
"317","USC00245011",2011-06-21,322152,26,45.73,-86.98
"318","USC00245011",2011-07-12,321916,18,38.1929,-87.2938
"319","USC00245011",2011-12-11,351405,12,30.595,-84.2679
"320","USC00245983",2011-06-17,301159,27,45.05,-94.97
"321","USC00247964",2011-06-19,315303,21,37.33,-87.5
"322","USC00248902",2011-08-03,347652,56,44.27,-104.737
"323","USC00250622",2011-07-12,322106,21,37.03,-88.35
"324","USC00252560",2011-02-23,277097,15,20.8488,-156.3657
"325","USC00252560",2011-07-06,334413,31,41.0442,-97.8525
"326","USC00254335",2011-02-24,278918,21,36.6706,-88.4125
"327","USC00256375",2011-07-28,330668,27,43.73,-92.87
"328","USC00256375",2011-07-31,337414,51,36.86,-76.21
"329","USC00256454",2011-01-10,274153,15,21.4917,-158.2114
"330","USC00256454",2011-07-22,338390,30,48.1928,-106.6193
"331","USC00257070",2011-02-24,278913,21,36.92,-87.1
"332","USC00257070",2011-03-04,282781,15,21.1986,-157.2405
"333","USC00257351",2011-02-01,288345,1,32.69,-86.19
"334","USC00258328",2011-08-08,342133,27,47.73,-93.96
"335","USC00320941",2011-06-22,311765,48,26.2147,-98.2906
"336","USC00320941",2011-07-13,310408,5,35,-91.98
"337","USC00320995",2011-04-12,293920,21,38.6733,-84.9004
"338","USC00321766",2011-04-06,288714,15,21.6371,-157.9353
"339","USC00323287",2011-02-24,278901,29,36.8,-89.95
"340","USC00323287",2011-10-18,351031,12,26.686,-81.796
"341","USC00323705",2011-10-07,344964,31,40.48,-99.52
"342","USC00324083",2011-06-01,308599,15,20.8191,-156.0931
"343","USC00324091",2011-04-12,293919,21,38.6245,-84.7171
"344","USC00324203",2011-09-06,339400,21,37.52,-83.77
"345","USC00324646",2011-05-25,313662,31,40.28,-99.77
"346","USC00324646",2011-05-25,313662,31,40.28,-99.77
"347","USC00324646",2011-05-25,313671,31,40.43,-99.83
"348","USC00324646",2011-05-25,313671,31,40.43,-99.83
"349","USC00326255",2011-12-10,353566,15,21.3869,-157.7307
"350","USC00326255",2011-12-10,353566,15,21.3869,-157.7307
"351","USC00326255",2011-12-10,351140,12,27.24,-80.27
"352","USC00326255",2011-12-10,351140,12,27.24,-80.27
"353","USC00328415",2011-06-03,308603,15,22.2205,-159.4775
"354","USC00328627",2011-01-12,274222,15,20.9053,-157.0276
"355","USC00328913",2011-04-04,298870,1,33.56,-88.08
"356","USC00328913",2011-12-13,353249,4,33.09,-111.5
"357","USC00329246",2011-12-11,351397,12,30.33,-84.31
"358","USC00330563",2011-07-11,327290,15,20.0547,-155.8253
"359","USC00331592",2011-10-31,346707,15,20.8807,-156.6777
"360","USC00332895",2011-05-13,310162,39,40.55,-84.75
"361","USC00332928",2011-09-03,331996,12,30.2,-85.6333
